Date,Category,Item,Cost,Sale,Profit,Payment
2026-02-01,Accessories,Jazz cash ,0.0,20.0,20.0,Cash
2026-02-02,Accessories,Jazz cash ,0.0,220.0,220.0,Cash
2026-02-02,Accessories,جاز کیش ,1.0,20.0,19.0,Cash
2026-02-01,Ghar ka Kharcha,امی کی گولیاں دودھ چکن احمد اسد کے سکول کے پیسے,1100.0,0.0,0.0,Cash
2026-02-02,Accessories,Jazz cash ,1.0,100.0,99.0,Cash
2026-02-02,Ghar ka Kharcha,اسد احمد اج سکول کے جو لے کر گئے,200.0,0.0,0.0,Cash
2026-02-02,Accessories,Jazz cash ,1.0,101.0,100.0,Cash
2026-02-02,Accessories,Jazz cash ,1.0,101.0,100.0,Cash
2026-02-02,Accessories,گلاس ,1.0,150.0,149.0,Cash
2026-02-02,Accessories,Jazz cash ,1.0,250.0,249.0,Cash
2026-02-02,Accessories,Cable ,100.0,300.0,200.0,Cash
2026-02-02,Ghar ka Kharcha,گھر کا بجلی کا بل پے کیا ہے,906.0,0.0,0.0,Cash
2026-02-02,Accessories,Jazz cash ,1.0,60.0,59.0,Cash
2026-02-02,Accessories,Jazz cash ,1.0,200.0,199.0,Cash
2026-02-02,Accessories,Cover ,100.0,350.0,250.0,Cash
2026-02-02,Ghar ka Kharcha,اسد لے کر گیا ہے گھی اور سبزی لینے کے لیے شام کی,800.0,0.0,0.0,Cash
2026-02-02,Accessories,Jazz cash ,1.0,220.0,219.0,Cash
2026-02-02,Ghar ka Kharcha,دودھ اور پتی کا ڈبہ,350.0,0.0,0.0,Cash
2026-02-03,Ghar ka Kharcha,احمد اور اسد کے سکول کے اور فاروق نے لیا 500,700.0,0.0,0.0,Cash
2026-02-03,Accessories,Jazz cash ,1.0,121.0,120.0,Cash
2026-02-03,Repairing,پینل فٹنگ,1.0,301.0,300.0,Cash
2026-02-03,Repairing,Juck,10.0,300.0,290.0,Cash
2026-02-03,Accessories,Jazz cash ,1.0,151.0,150.0,Cash
2026-02-03,Accessories,Handfree,110.0,270.0,160.0,Cash
2026-02-03,Accessories,Jazz cash ,1.0,101.0,100.0,Cash
2026-02-03,Ghar ka Kharcha,عید کے لیے گھر کے خرچے کے لیے شام کو امی دکان سے ہزار روپیہ لے گئی,1000.0,0.0,0.0,Cash
2026-02-03,Accessories,Jazz cash ,1.0,31.0,30.0,Cash
2026-02-03,Accessories,Jazz cash ,1.0,251.0,250.0,Cash
2026-02-03,Accessories,Jazz cash ,1.0,71.0,70.0,Cash
2026-02-03,Accessories,Jazz cash ,1.0,160.0,159.0,Cash
2026-02-03,Accessories,Jazz cash ,1.0,101.0,100.0,Cash
2026-02-03,Accessories,Jazz cash ,70.0,0.0,-70.0,Cash
2026-02-03,Accessories,Jazz cash ,1.0,111.0,110.0,Cash
2026-02-03,Repairing,Camra fitting ,1000.0,2000.0,1000.0,Cash
2026-02-03,Accessories,Cover,50.0,250.0,200.0,Cash
2026-02-03,Accessories,Juck,10.0,710.0,700.0,Cash
2026-02-03,Accessories,Jazzcash ,1.0,51.0,50.0,Cash
2026-02-03,Accessories,Jazzcash ,1.0,251.0,250.0,Cash
2026-02-03,Accessories,چارجر ,450.0,750.0,300.0,Cash
2026-02-03,Ghar ka Kharcha,گھر کا دودھ,200.0,0.0,0.0,Cash
2026-02-04,Accessories,Jazz cash ,1.0,11.0,10.0,Cash
2026-02-04,Accessories,Jazz cash ,1.0,101.0,100.0,Cash
